,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,Total_treatment
0,2010,Spent solvents,Total,0.0,0.0,84.94946037717506,25.203928515981715,45.05865974305002,2825.0664151318892,44.38739101414612,95629.60890944049,100.80269133001863,819.0163858338585,1917.6401368516108,774.2445205108856,21.47197057450999,1.4512891253133389,0.0,14969.237744563501,0.0,117258.13950301244,8581.0,0.0,8436.486999999997,0.0,0.0,0.0,17017.487
1,2010,"Acid, alkaline or saline wastes",Total,0.0,0.0,5962.045334086419,3.314855947142465,29.71604714834838,12508.904426449055,7473.808522035044,87629.72092786984,4818.370619842368,36691.12745023111,11492.445231343458,1809.852570081189,57.17239570270746,234.93825306241123,0.0,19334.76532113769,0.0,188046.1819549368,0.0,0.0,2942.9390000000008,0.0,73761.87,0.0,76704.80899999998
2,2010,Used oils,Total,31991.637710338407,8117.0,6775.099374778573,61.16469289938809,103.23224401765512,3148.61783137233,4156.560477092136,42942.45372104571,15806.007097942907,18624.625173560333,16112.105266055161,3093.1974314469066,24973.976901330025,21.422419701255947,0.0,104950.65356123383,7575.3179999999975,288453.07190281467,7.0,0.0,6417.999399616944,0.0,524.6415384615385,8520.360220428676,15470.00115850716
3,2010,Chemical wastes,Total,163248.07767700718,3351.0,15951.64519174559,7277.397346213437,3688.616529295241,34797.65110753958,9860.770177998835,399716.4576802634,5093.897215587192,90602.01741101459,19208.55836059037,2281.422529888136,4746.40376236544,11.07478000850112,0.0,129281.8662443611,5514.497,894631.3530138785,64.54,7723.0,145525.2732936151,0.0,53770.96361538461,3351.0,210434.7769089997
4,2010,Industrial effluent sludges,Total,0.0,20690.37,87562.14539832293,2173.0631960181054,40.71974548279866,78952.52987896386,1244.7341452452852,39808.63915520955,7369.923209401659,29426.946996404316,4248.945502662059,409.9899135535377,6374.007855981246,11177.147212081652,0.0,15623.533638718334,0.0,305102.6958480453,548.1,127725.88,63418.98946,0.0,92701.9076,20690.37,305085.24706
5,2010,Sludges & liquid wastes from waste treatment,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.525,0.0,0.0,0.0,0.0,0.0,0.0,3301.601643,1207.7279999999996,0.0,4956.854643,115560.0,1157.0,29.44686666666667,0.0,348700.6058,0.0,465447.05266666657
6,2010,Health care & biological wastes,Total,1795.3674291828424,45.0,1966.3966878283427,5.87068,3.02,21.86,9.0,786.5059333333332,2.053244941885493,118.82,926.6982198733165,702.552235966878,1.666260739979445,0.08,0.0,364524.0706116738,1221.996,372130.9573035404,39.88,126498.61,401.155,0.0,107777.2806,45.0,234761.9256
7,2010,"Metallic wastes, ferrous",Total,0.0,0.0,1173.0707692307692,122.33333333333331,115.0,887.0,114.0,15607.25,1706.64,187004.21902603804,20111.105894648288,780.3298976,13910.666666666664,8.0,1817632.9903836357,1466757.5777194588,17936.794999999995,3543866.978690611,0.0,0.0,9376609.844459612,0.0,2955.94,0.0,9379565.784459613
8,2010,"Metallic wastes, non-ferrous",Total,0.0,0.0,98.00615384615385,6.0,420.4,71.0,9.0,143.0,22.0,26772.648716216227,3487.6541541501983,61.0,97.74666666666668,1.0,197971.89698249538,152641.13024999987,4033.275999999999,385835.7589233745,0.0,0.0,1985587.9260235813,0.0,2186.8010000000004,0.0,1987774.7270235813
9,2010,"Metallic wastes, mixed",Total,1474.5023682577441,19278.0,26180.98190090532,135.29184805199662,5209.446671148174,3614.0367582439117,2176.9607411779007,5582.802978927284,4129.686163362077,185481.2009856221,54216.06118376207,21752.58641306181,9783.150348826246,90.6230938669382,1139712.40323387,2464443.37301049,366569.2063,4309830.313999574,0.0,0.0,4693537.607563815,0.0,1516.0579230769233,19278.0,4714331.665486892
