,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,d`
0,2010,Spent solvents,Total,0.0,0.0,13.697856766594976,9.133928515981719,16.31921393456741,693.5919319838054,18.38739101414612,39262.0572476014,9.554548841856775,338.4262557816327,355.7663169928632,82.01455044781302,2.0124658314472947,0.4512891253133389,0.0,1046.5790031625825,0.0,41847.992,0.0,0.0,8436.486999999997,0.0,0.0,0.0,8436.486999999997
1,2010,"Acid, alkaline or saline wastes",Total,0.0,0.0,5387.579199471034,3.314855947142465,28.71604714834838,11948.970012577105,2342.1069513544157,81603.6151861326,4225.370619842368,35294.61056628834,7608.87671399699,1734.271097212972,54.285807830148364,226.93825306241123,0.0,14250.475689136108,0.0,164709.13099999994,0.0,0.0,893.469,0.0,73761.87,0.0,74655.33899999998
2,2010,Used oils,Total,21570.79602848944,1442.0,3709.416719151996,47.053808899388095,53.66811423203869,2362.477046062225,3690.5604770921364,31707.813218533727,12047.55754187114,14252.562015877376,5759.97640448892,2483.931555408852,19628.215044940847,17.354619870174865,0.0,46829.90743357111,6258.113,171861.40302848938,0.0,0.0,1472.0309999999995,0.0,239.09897435897443,1517.6688968992646,3228.7988712582387
3,2010,Chemical wastes,Total,103009.38743795807,748.0,552.7500231962779,2833.08674907058,467.7044957952408,26199.23209311101,6178.540177998837,342341.6917473341,3615.674034573366,70664.16048521025,8812.291685579072,2052.422417888136,851.956071367513,10.07478000850112,0.0,74431.03423886691,3833.57,646601.5764379578,0.0,5722.0,76430.701,0.0,41482.64092307692,748.0,124383.34192307694
4,2010,Industrial effluent sludges,Total,0.0,1653.4800000000002,49775.95404832291,1883.063196018106,15.307745482798662,59493.634878963865,996.734145245285,22267.135845367375,6366.728175393912,18293.536241189693,2211.4008286225767,153.52662179878084,4871.778571131914,8904.147212081656,0.0,8542.826270381238,0.0,185429.2537800001,0.0,127039.0,443.18718,0.0,62225.496,1653.4800000000002,191361.16318
5,2010,Sludges & liquid wastes from waste treatment,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111552.0,1157.0,0.0,0.0,333336.978,0.0,446045.97799999994
6,2010,Health care & biological wastes,Total,1021.4282542896003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246828.305,0.0,247851.7332542896,0.0,120146.0,401.155,0.0,91081.54,2.0,211630.695
7,2010,"Metallic wastes, ferrous",Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.64,158369.18800000005,0.0,0.0,0.0,0.0,1386051.9470000009,1441227.5370000002,11510.463999999994,2998593.7760000015,0.0,0.0,8471005.963000001,0.0,2007.08,0.0,8473013.043000001
8,2010,"Metallic wastes, non-ferrous",Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25829.88900000001,0.0,0.0,0.0,0.0,138511.32199999993,152135.42799999987,2089.909999999999,318566.5489999998,0.0,0.0,1807071.622,0.0,1184.601,0.0,1808256.2230000002
9,2010,"Metallic wastes, mixed",Total,954.036854421531,4748.0,195.53910648701213,23.147801385329924,34.975924063821004,264.3251739583427,48.76702390041374,432.74509408187623,66.75284940481836,4234.320992310978,3141.1815015868883,305.3370258666094,176.68071085519574,5.023093866938199,837615.5079999998,2334166.5849922374,313184.3383,3499597.2644444276,0.0,0.0,4627014.014,0.0,1358.259717948718,4748.0,4633120.273717949
10,2010,Glass wastes,Total,0.0,0.0,734.1317462899345,8.709397097631417,22.020818879273573,21.35647996114519,0.018293846407140137,348.20115742430085,5231.773571095479,10.32346518586677,46.498311593443354,11.473011662584838,0.8546895285206934,0.0,12627.262999999995,317335.32997196267,710729.1349999994,1047127.0889145265,0.0,0.0,1258655.0866190474,0.0,8823.36,0.0,1267478.4466190476
11,2010,Paper & cardboard wastes,Total,5842.878917262462,0.0,44652.923424359804,4221.266601625488,1424.5032498999176,954493.1973237223,363.0251481716463,30345.093646953595,4692.846324595073,9449.179697117965,31794.04741944285,22406.200794116496,1224.4588749092336,489.3259497947228,0.0,3815687.1434852914,1233012.1499999994,6160098.240857262,53.0,0.0,3309029.8501251573,0.0,1853.4117948717947,0.0,3310936.2619200293
12,2010,Rubber wastes,Total,21798.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140399.17599999998,8908.581000000002,171105.99699999994,89619.0,0.0,43135.041,0.0,5686.79,0.0,138440.831
13,2010,Plastic wastes,Total,82291.27638520718,0.0,27127.347932425848,3049.031655305873,1890.1657692535853,10831.442079869115,4052.2269550555693,68744.48527007697,2073.157182726267,5961.287447174659,18095.42431892908,15169.733836102543,559.3781004547865,1950.4112548293695,40917.66,504482.3895886579,85559.9124999999,872755.3302760686,0.0,0.0,790289.5039411762,0.0,48908.7587948718,0.0,839198.2627360483
14,2010,Wood wastes,Total,0.0,0.0,25014.002945282296,2740.466409651927,121946.51881022436,49693.60225579424,443.6865298863074,39462.96365597572,5985.981438515264,55620.633901582216,57067.862603438756,26286.49661052354,1376.6685098237247,755.9094692659359,484175.1559999998,1072541.583360036,616691.5374999996,2559803.07,157295.0,0.0,2489410.271,0.0,60931.62,0.0,2707636.891
