,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,Total_treatment
0,2010,Spent solvents,Hazardous,0.0,0.0,84.94946037717506,25.203928515981715,45.05865974305002,2825.0664151318892,44.38739101414612,95629.60890944049,100.80269133001863,819.0163858338585,1917.6401368516108,774.2445205108856,21.47197057450999,1.4512891253133389,0.0,14969.237744563501,0.0,117258.13950301244,8581.0,0.0,8436.486999999997,0.0,0.0,0.0,17017.487
1,2010,Spent solvents,Non-hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,"Acid, alkaline or saline wastes",Hazardous,0.0,0.0,2644.474322622751,1.5892666699683162,14.767553508758073,6197.973549642561,6717.248382564081,40596.8618215512,2618.801664222435,21429.840663347062,7506.98866295707,894.4748198533113,28.026658899350352,116.80273758014522,0.0,8427.786022764682,0.0,97195.63612618338,0.0,0.0,79.01399999999998,0.0,569.4,0.0,648.414
3,2010,"Acid, alkaline or saline wastes",Non-hazardous,0.0,0.0,3317.571011463668,1.725589277174148,14.948493639590307,6310.930876806496,756.5601394709623,47032.85910631863,2199.5689556199327,15261.28678688404,3985.4565683863866,915.3777502278776,29.14573680335712,118.135515482266,0.0,10906.979298373008,0.0,90850.5458287534,0.0,0.0,2863.925,0.0,73192.47,0.0,76056.395
4,2010,Used oils,Hazardous,31991.637710338407,8117.0,6775.099374778573,61.16469289938809,103.23224401765512,3148.61783137233,4156.560477092136,42942.45372104571,15806.007097942907,18624.625173560333,16112.105266055161,3093.1974314469066,24973.976901330025,21.422419701255947,0.0,104950.65356123383,7575.3179999999975,288453.07190281467,7.0,0.0,6417.999399616944,0.0,524.6415384615385,8520.360220428676,15470.00115850716
5,2010,Used oils,Non-hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
6,2010,Chemical wastes,Hazardous,163248.07767700718,2844.0,573.4603010719605,1668.620319120949,897.9022876152676,25344.082907007032,7224.911965467003,331319.56420100556,4018.4144176884583,75142.70523755238,13355.435078012724,1789.529614360732,4479.449824524226,9.189816014735225,0.0,104801.36593733123,2637.823000000001,739354.5325837795,64.54,7723.0,21466.977293615084,0.0,3131.8884615384613,2844.0,35230.405755153544
7,2010,Chemical wastes,Non-hazardous,0.0,507.0,15378.18489067363,5608.7770270924875,2790.714241679973,9453.568200532554,2635.858212531833,68396.89347925776,1075.482797898732,15459.312173462195,5853.1232825776415,491.8929155274038,266.953937841214,1.8849639937658915,0.0,24480.500307029848,2876.6740000000004,155276.82043009903,0.0,0.0,124058.296,0.0,50639.075153846155,507.0,175204.37115384615
8,2010,Industrial effluent sludges,Hazardous,0.0,20033.46,10557.405372962265,124.20180271256832,23.2273063670639,8907.510724175936,361.70139066985575,4935.261425725027,263.2639014106875,5129.81986858536,1915.5480978369958,258.6696209871256,1128.4818686504525,1067.9200337848165,0.0,2764.2514043418255,0.0,57470.72281820998,0.0,127039.0,0.0,0.0,6718.7569,20033.46,153791.2169
9,2010,Industrial effluent sludges,Non-hazardous,0.0,656.91,77004.74002536066,2048.8613933055376,17.492439115734758,70045.01915478794,883.0327545754292,34873.37772948453,7106.659307990973,24297.12712781896,2333.397404825063,151.32029256641204,5245.525987330793,10109.227178296838,0.0,12859.28223437651,0.0,247631.97302983532,548.1,686.88,63418.98946,0.0,85983.1507,656.91,151294.03016
10,2010,Sludges & liquid wastes from waste treatment,Hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,452.565,115560.0,1157.0,0.0,0.0,7715.694,0.0,124432.694
11,2010,Sludges & liquid wastes from waste treatment,Non-hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.601643,1202.6879999999996,0.0,4504.289643,0.0,0.0,29.44686666666667,0.0,340984.9118,0.0,341014.3586666667
12,2010,Health care & biological wastes,Hazardous,284.8212566828452,45.0,1955.3966878283427,4.87068,2.02,9.93,0.0,416.8447777777778,2.053244941885493,113.26,909.4740129933165,1.0,1.666260739979445,0.08,0.0,220884.00152424816,0.0,224630.4184452123,6.55,122163.95,0.0,0.0,0.0,45.0,122215.5
13,2010,Health care & biological wastes,Non-hazardous,1510.5461724999973,0.0,11.0,1.0,1.0,11.93,9.0,369.66115555555564,0.0,5.5600000000000005,17.22420688,701.552235966878,0.0,0.0,0.0,143640.06908742574,1221.996,147500.5388583282,33.33,4334.66,401.155,0.0,107777.2806,0.0,112546.4256
14,2010,"Metallic wastes, ferrous",Hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010,"Metallic wastes, ferrous",Non-hazardous,0.0,0.0,1173.0707692307692,122.33333333333331,115.0,887.0,114.0,15607.25,1706.64,187004.21902603804,20111.105894648288,780.3298976,13910.666666666664,8.0,1817632.9903836357,1466757.5777194588,17936.794999999995,3543866.978690611,0.0,0.0,9376609.844459612,0.0,2955.94,0.0,9379565.784459613
16,2010,"Metallic wastes, non-ferrous",Hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
