,Year,Waste_types,Haz_NonHaz,A,B,C10_C12,C13_C15,C16,C17_C18,C19,C20_C22,C23,C24_C25,C26_C30,C31_C33,D,E36_E37_E39,F,G_U_X_G4677,EP_HH,Total_waste_gen,Energy_recovery,Incineration,No_backfilling,Backfilling,Deposit_land,Treated_waterbodies,d`
0,2010,Spent solvents,Hazardous,0.0,0.0,13.697856766594976,9.133928515981719,16.31921393456741,693.5919319838054,18.38739101414612,39262.0572476014,9.554548841856775,338.4262557816327,355.7663169928632,82.01455044781302,2.0124658314472947,0.4512891253133389,0.0,1046.5790031625825,0.0,41847.992,0.0,0.0,8436.486999999997,0.0,0.0,0.0,8436.486999999997
1,2010,Spent solvents,Non-hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,"Acid, alkaline or saline wastes",Hazardous,0.0,0.0,2583.0081880073667,1.5892666699683162,13.767553508758073,5728.785830892561,1585.5468118834533,39123.84363973302,2025.8016642224352,20283.9037794043,3647.9817977845173,831.4748198533113,26.026658899350352,108.80273758014522,0.0,6832.214251560791,0.0,82792.74699999997,0.0,0.0,30.014,0.0,569.4,0.0,599.414
3,2010,"Acid, alkaline or saline wastes",Non-hazardous,0.0,0.0,2804.571011463668,1.725589277174148,14.948493639590307,6220.184181684544,756.5601394709623,42479.77154639959,2199.5689556199327,15010.70678688404,3960.8949162124736,902.7962773596608,28.259148930798027,118.135515482266,0.0,7418.261437575315,0.0,81916.38400000003,0.0,0.0,863.455,0.0,73192.47,0.0,74055.925
4,2010,Used oils,Hazardous,21570.79602848944,1442.0,3709.416719151996,47.053808899388095,53.66811423203869,2362.477046062225,3690.5604770921364,31707.813218533727,12047.55754187114,14252.562015877376,5759.97640448892,2483.931555408852,19628.215044940847,17.354619870174865,0.0,46829.90743357111,6258.113,171861.40302848938,0.0,0.0,1472.0309999999995,0.0,239.09897435897443,1517.6688968992646,3228.7988712582387
5,2010,Used oils,Non-hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
6,2010,Chemical wastes,Hazardous,103009.38743795807,740.0,449.33199417737364,1381.2254991209495,380.19825411526773,21297.426880673695,3920.681965467004,299676.5115379176,2939.191236674634,57277.9641847808,7163.535830278727,1668.4197543607322,659.2121335262989,8.189816014735225,0.0,58983.663912892,2159.6600000000008,561714.6004379579,0.0,5722.0,1999.105,0.0,2769.27,740.0,11230.375
7,2010,Chemical wastes,Non-hazardous,0.0,8.0,103.41802901890424,1451.8612499496305,87.50624167997299,4901.805212437317,2257.858212531833,42665.180209416496,676.4827978987317,13386.196300429454,1648.7558553003455,384.0026635274038,192.74393784121398,1.8849639937658915,0.0,15447.370325974916,1673.91,84886.97599999998,0.0,0.0,74431.596,0.0,38713.37092307693,8.0,113152.96692307694
8,2010,Industrial effluent sludges,Hazardous,0.0,1610.8200000000004,5902.803022962263,123.20180271256832,1.815306367063904,6897.105724175936,126.70139066985577,2731.284143906845,218.84190141068748,2139.564113370734,262.24436569316555,18.206329232368805,380.6706078504527,1055.9200337848165,0.0,1013.0719078632474,0.0,22482.25065,0.0,127039.0,0.0,0.0,2615.07,1610.8200000000004,131264.89
9,2010,Industrial effluent sludges,Non-hazardous,0.0,42.66,43873.151025360654,1759.8613933055378,13.492439115734758,52596.52915478793,870.0327545754292,19535.851701460528,6147.886273983225,16153.972127818965,1949.156462929411,135.32029256641204,4491.107963281462,7848.227178296838,0.0,7529.75436251799,0.0,162947.0031300001,0.0,0.0,443.18718,0.0,59610.426,42.66,60096.27318
10,2010,Sludges & liquid wastes from waste treatment,Hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111552.0,1157.0,0.0,0.0,7715.694,0.0,120424.694
11,2010,Sludges & liquid wastes from waste treatment,Non-hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325621.284,0.0,325621.284
12,2010,Health care & biological wastes,Hazardous,21.324562535720496,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152559.45799999998,0.0,152582.7825625357,0.0,116701.0,0.0,0.0,0.0,2.0,116703.0
13,2010,Health care & biological wastes,Non-hazardous,1000.10369175388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94268.84700000002,0.0,95268.95069175388,0.0,3445.0,401.155,0.0,91081.54,0.0,94927.695
14,2010,"Metallic wastes, ferrous",Hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010,"Metallic wastes, ferrous",Non-hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.64,158369.18800000005,0.0,0.0,0.0,0.0,1386051.9470000009,1441227.5370000002,11510.463999999994,2998593.7760000015,0.0,0.0,8471005.963000001,0.0,2007.08,0.0,8473013.043000001
16,2010,"Metallic wastes, non-ferrous",Hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
17,2010,"Metallic wastes, non-ferrous",Non-hazardous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25829.88900000001,0.0,0.0,0.0,0.0,138511.32199999993,152135.42799999987,2089.909999999999,318566.5489999998,0.0,0.0,1807071.622,0.0,1184.601,0.0,1808256.2230000002
18,2010,"Metallic wastes, mixed",Hazardous,,,,,,,,,,,,,,,,,,,,,,,,,
