"","Year","EWC-STAT code","EWC-STAT description","Hazardous/Non-hazardous split","Energy recovery","Incineration","Recovery other than energy recovery - Except backfilling","Recovery other than energy recovery - Backfilling","Deposit onto or into land","Land treatment and release into water bodies","Total waste sent to final treatment"
"370","2016","09.2","Vegetal wastes","Hazardous","z","z","z","z","z","z","z"
"371","2016","09.2","Vegetal wastes","Non-hazardous","1698","46579","3390921.1409999952","22772","84918.601999999984","0","3546888.7429999951"
"372","2016","09.2","Vegetal wastes","Total","1698","46579","3390921.1409999952","22772","84918.601999999984","0","3546888.7429999951"
"373","2016","09.3","Animal faeces, urine & manure","Hazardous","z","z","z","z","z","z","z"
"374","2016","09.3","Animal faeces, urine & manure","Non-hazardous","0","517281","13628.386","96","3134.4600000000009","0","534139.84600000002"
"375","2016","09.3","Animal faeces, urine & manure","Total","0","517281","13628.386","96","3134.4600000000009","0","534139.84600000002"
"376","2016","10.1","Household & similar wastes","Hazardous","z","z","z","z","z","z","z"
"377","2016","10.1","Household & similar wastes","Non-hazardous","5407157","2082604","373648.24200000003","235","4002089.5699999952","0","11865733.811999995"
"378","2016","10.1","Household & similar wastes","Total","5407157","2082604","373648.24200000003","235","4002089.5699999952","0","11865733.811999995"
"379","2016","10.2","Mixed & undifferentiated materials","Hazardous","417","9168","1228.816","0","737.44399999999996","0","11551.26"
"380","2016","10.2","Mixed & undifferentiated materials","Non-hazardous","0","55743","165872.90600000002","3969","177837.89299999987","0","403422.79899999988"
"381","2016","10.2","Mixed & undifferentiated materials","Total","417","64911","167101.72200000001","3969","178575.33699999985","0","414974.05899999989"
"382","2016","10.3","Sorting residues","Hazardous","0","3698","780.8","0","83963.257000000027","0","88442.05700000003"
"383","2016","10.3","Sorting residues","Non-hazardous","717904","1112319","544446.90399999975","127559","8106508.5880000098","0","10608737.49200001"
"384","2016","10.3","Sorting residues","Total","717904","1116017","545227.70399999979","127559","8190471.84500001","0","10697179.54900001"
"385","2016","11","Common sludges","Hazardous","z","z","z","z","z","z","z"
"386","2016","11","Common sludges","Non-hazardous","0","123118","767284.4","21415.8","30247","0","942065.20000000007"
"387","2016","11","Common sludges","Total","0","123118","767284.4","21415.8","30247","0","942065.20000000007"
"388","2016","12.1","Mineral waste from construction & demolition","Hazardous","0","0","187552.76384132062","377","9468.4000000000051","0","197398.16384132061"
"389","2016","12.1","Mineral waste from construction & demolition","Non-hazardous","0","0","52297495.211999997","501823.94099999999","2197412.8610000019","0","54996732.013999999"
"390","2016","12.1","Mineral waste from construction & demolition","Total","0","0","52485047.975841321","502200.94099999999","2206881.2610000018","0","55194130.177841321"
"391","2016","12.2, 12.3, 12.5","Other mineral wastes","Hazardous","0","0","16073.580000000004","0","218888.67800000022","0","234962.25800000023"
"392","2016","12.2, 12.3, 12.5","Other mineral wastes","Non-hazardous","0","304","31522.425999999999","89204","553344.50400000007","11496858","12171232.93"
"393","2016","12.2, 12.3, 12.5","Other mineral wastes","Total","0","304","47596.006000000001","89204","772233.18200000026","11496858","12406195.188000001"
"394","2016","12.4","Combustion wastes","Hazardous","0","0","1032.498","0","10035.99","0","11068.487999999999"
"395","2016","12.4","Combustion wastes","Non-hazardous","0","0","344320.88000000006","66823","422213.89600000012","0","833357.77600000019"
"396","2016","12.4","Combustion wastes","Total","0","0","345353.37800000008","66823","432249.88600000012","0","844426.2640000002"
"397","2016","12.6","Soils","Hazardous","0","0","73877.927506550302","0","149302.66500000015","0","223180.59250655046"
"398","2016","12.6","Soils","Non-hazardous","0","0","11172862.747382354","12001271","25724491.004999951","0","48898624.752382308"
"399","2016","12.6","Soils","Total","0","0","11246740.674888905","12001271","25873793.66999995","0","49121805.344888851"
"400","2016","12.7","Dredging spoils","Hazardous","0","0","52.229700000000001","0","1674.4","0","1726.6297000000002"
"401","2016","12.7","Dredging spoils","Non-hazardous","0","0","3522.8519999999999","148980.53599999999","57461.67300000001","8722261","8932226.0610000007"
"402","2016","12.7","Dredging spoils","Total","0","0","3575.0816999999997","148980.53599999999","59136.073000000011","8722261","8933952.6907000002"
"403","2016","12.8, 13","Mineral waste from waste treatment & stabilised waste","Hazardous","0","0","44.683","0","278761.65899999999","0","278806.342"
"404","2016","12.8, 13","Mineral waste from waste treatment & stabilised waste","Non-hazardous","0","0","204292.92899999997","100621","1413822.7049999998","0","1718736.6339999998"
"405","2016","12.8, 13","Mineral waste from waste treatment & stabilised waste","Total","0","0","204337.61199999996","100621","1692584.3639999998","0","1997542.9759999998"
"406","2016","Total","*Total waste treated","Hazardous","26332","300020","560469.70544787112","377","794181.8590000004","0","1681380.5644478714"
"407","2016","Total","*Total waste treated","Non-hazardous","6183305","5129752","91835758.73206982","13265172.827","43919727.223999955","20219119","180552834.78306976"
"408","2016","Total","*Total waste treated","Total","6209637","5429772","92396228.437517688","13265549.827","44713909.082999952","20219119","182234215.34751764"
