,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
230,2014,06.2,"Metallic wastes, non-ferrous",Total,0,0,0,0,0,0,0,0,0,47918.61,0,0,0,0,336299.94300000032,136036.60699999999,2717.0429999999997,522972.20300000027,2014,06.2,"Metallic wastes, non-ferrous",Total,0,0,1659529.4580000001,0,199.52,0,1659728.9780000001
233,2014,06.3,"Metallic wastes, mixed",Total,4449.4132658451108,2117.9779999999996,1308.4080466944533,154.88855472428148,234.0339040503755,1768.6752832430379,326.31409456133616,2895.6211033002901,446.66239337065082,28333.051930944112,21018.543178609831,2043.0973055722723,1182.2211317815786,33.610956666819135,399212.48299999983,2256221.919580488,260138.07899999982,2981885.0007298519,2014,06.3,"Metallic wastes, mixed",Total,0,0,3504729.7620000001,41.7,2713.1410000000001,0,3507484.6030000001
236,2014,07.1,Glass wastes,Total,0,0,1926.3074628434374,22.852814512953309,57.781001788084545,56.03782554987481,4.8001701378907947E-2,913.65411114131723,31203.758668128634,27.088009925245515,122.00813421395766,30.104334948891701,2.2426421763176707,0,82747.394999999873,359608.88277066615,486778.84399999998,963497.0047775961,2014,07.1,Glass wastes,Total,0,0,1195327.6068181817,164.23,78705.607000000004,0,1274197.4438181818
239,2014,07.2,Paper & cardboard wastes,Total,5629.0133970771349,0,51794.146064197812,4896.3624814145105,1652.3202454867856,964525.14064205298,421.08278937727528,35198.103330109327,5443.3606884585715,10960.361738653553,36878.784404881648,25989.564572184634,1420.2833085292316,567.58254047133676,0,3855449.3795361775,970412.75,5971238.2357390728,2014,07.2,Paper & cardboard wastes,Total,0,0,4152293.4334157645,1.84,2742.6309999999999,0,4155037.9044157644
242,2014,07.3,Rubber wastes,Total,11315.604677009713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280831.53599999996,7016.7200000000012,299163.86067700968,2014,07.3,Rubber wastes,Total,212401.21,0,6950.6353236448522,1.99,6417.87,0,225771.70532364483
245,2014,07.4,Plastic wastes,Total,82267.84698476296,0,37169.617776695137,4177.7523368326092,2589.8860202905958,14841.132390900275,5552.3203904425172,93660.233556124484,2840.6190042940379,8168.0957689061552,24794.167388465412,20785.415878717205,766.4542158102106,2672.4337753163136,17746.218000000008,590659.9112803943,88135.459999999977,996827.56476795219,2014,07.4,Plastic wastes,Total,0,0,507156.39686971746,7.33,64515.86,0,571679.58686971746
248,2014,07.5,Wood wastes,Total,0,0,26586.98094955409,2912.7976192251308,129614.99123367459,52702.779795476163,471.58726827789985,41944.548628601406,6362.4032834059335,59118.276158290428,60656.512241898352,27939.493976365662,1463.2387916719872,803.44400306194882,524275.94600000017,1081012.054050497,670719.16999999958,2686584.2240000004,2014,07.5,Wood wastes,Total,213509,102030,2254783.8467411036,80096.11,22442.431,0,2672861.3877411033
251,2014,07.6,Textile wastes,Total,0,0,1278.8510479500394,4373.1309090126579,0,107.07597256605445,0,110.47550351906511,0.74451049196881636,45.637302867664303,23.395438345773542,159.61266392095791,11.399389307205,0,0,1724.059262018613,112970.603,120804.985,2014,07.6,Textile wastes,Total,0,3545,90234.122023127697,0,3804.47,0,97583.592023127698
254,2014,07.7,Waste containing PCB,Total,0,0,0,0,0,0,0,0,0,0,4406.5780000000004,0,0,0,0,0,0,4406.5780000000004,2014,07.7,Waste containing PCB,Total,0,0,5216.424,0,6.72,0,5223.1440000000002
257,2014,08*,Discarded equipment,Total,9.7525559539213038,0,1766.9503170756366,3005.2010741735944,68.408830780865458,5692.0049999833482,28.385898368462538,1031.6173936159303,623.15754277160158,1737.0719912189556,1954.244557698531,4958.0187412977029,366.87734738613983,95.523877670943733,0,118832.63942795838,248281.85699999993,388451.71155595395,2014,08*,Discarded equipment,Total,0,0,298209.46878802695,90.6,2430.7200000000003,0,300730.7887880269
260,2014,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230086.5270000007,574,1230660.5270000007,2014,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0
263,2014,08.41,Batteries & accumulators wastes,Total,3362.6839128205124,0,6.6901350110079889,3.4152345933275701,2.5817041364874918,0.87105671707472498,0.11333584859907325,90.417371112866007,1.1211489497792955,3.0627162487852861,351.74544255793376,7.4837140899000119,7.4664738054687989,1.5122276254311635,0,87842.202439303335,8294.9249999999993,99976.29191282051,2014,08.41,Batteries & accumulators wastes,Total,0,0,92174.739180223754,0,155.26,0,92329.999180223749
266,2014,09.1,Animal & mixed food waste,Total,14109.14369448891,0,966590.60599999991,0,0,0,0,0,0,0,0,0,0,0,0,889277.04200000025,308951.51299999986,2178928.3046944891,2014,09.1,Animal & mixed food waste,Total,129568,233842,832871.99056325911,178.72,100536.83199999999,0,1296997.5425632589
269,2014,09.2,Vegetal wastes,Total,0,0,394767.64500000002,0,0,0,0,0,0,0,0,0,0,0,0,78240.958999999988,3873868.2170000011,4346876.8210000014,2014,09.2,Vegetal wastes,Total,0,0,3519978.3401777628,16854.39,72178.438999999998,0,3609011.1691777627
272,2014,09.3,"Animal faeces, urine & manure",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,09.3,"Animal faeces, urine & manure",Total,377338,154691,13455.412,139.72999999999999,3006.0540000000001,0,548630.196
275,2014,10.1,Household & similar wastes,Total,776.98983050043012,0,449606.03003243153,42.030226313139472,29.570129660874397,149876.02195490184,13.457095351997683,449514.35304312687,43.425836099168023,299843.02387244743,150002.25930209164,96.185000610726945,39.932108513558724,2.6566058260188137,0,7445170.2130566519,12370610.456999995,21315666.605094522,2014,10.1,Household & similar wastes,Total,0,6016312,433978.68194551748,7122.4589999999998,5971854.6229999997,0,12429267.763945516
278,2014,10.2,Mixed & undifferentiated materials,Total,11711.257755073035,2940.7629999999999,64576.70049057337,703.13548131485436,153.39150760090465,99122.66184151647,202.33353039889678,651424.27406573389,576.36408177694386,3702.824986884541,2909.7501035191767,741.98641427466691,380.22552223699932,117.06186701287334,0,64175.09050315692,2924546.3569999984,3827984.178151072,2014,10.2,Mixed & undifferentiated materials,Total,66568,3944,191848.07584222339,5250,202098.58900000001,0,469708.6648422234
281,2014,10.3,Sorting residues,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,10.3,Sorting residues,Total,99337,26847.72,510322.09400000004,50159.34,7627932.5489999996,0,8314598.7029999997
284,2014,11,Common sludges,Total,0,0,36794.331828746886,0.23573968589309591,4.8074229352752837,2854.2938189145643,1.2802046878193274,185.9082806908059,41.243580654675164,97.731630003165009,143.36715825435334,15.52794591157477,49.405443228624399,924931,0,260027.70526542899,0,1225146.8383191426,2014,11,Common sludges,Total,22054.43,125979,760833,5106.9359999999997,5629.19,0,919602.55599999987
287,2014,12.1,Mineral waste from construction & demolition,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53684597.380499974,0,0,53684597.380499974,2014,12.1,Mineral waste from construction & demolition,Total,0,0,48298265.256724834,1117793.689,2130496.344,0,51546555.289724834
290,2014,"12.2, 12.3, 12.5",Other mineral wastes,Total,19919.322467907656,11640745.272941178,12523.210231457422,0.32883637985608688,28.085141495515348,3.0283670646175698,55.129857067039232,171558.75904600782,57608.652944841044,106593.16883762261,206.91318457095019,24.8159273466663,583.41481463298601,381.07666866079552,0,6927.9321428526928,0,12017159.111409081,2014,"12.2, 12.3, 12.5",Other mineral wastes,Total,0,0,14261.469000000001,74260.909,691323.52099999995,11640732.352941178,12420578.251941178
293,2014,12.4,Combustion wastes,Total,0,0,0,0,0,0,0,0,1226.3,187847.272,0,0,1613255.14,0,0,0,0,1802328.7119999998,2014,12.4,Combustion wastes,Total,0,0,12859.868,241514.649,1714101.398,0,1968475.915
296,2014,12.6,Soils,Total,0,0,0,0,0,0,326.983,0,0,0,0,0,0,0,50108453.967135429,282529.16699999996,0,50391310.117135435,2014,12.6,Soils,Total,0,1180.3599999999999,10268157.591428846,17469323.071000002,19641541.769000001,0,47380202.791428849
299,2014,12.7,Dredging spoils,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10447101.800000001,0,0,10447101.800000001,2014,12.7,Dredging spoils,Total,0,0,720.22540000000004,922.24,164923.19200000001,10447101.800000001,10613667.457400002
302,2014,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,95968.24,387952,4615.88,63660.740000000005,2112216,0,2664412.86
308,2016,01.1,Spent solvents,Total,0,0,26.326326367359087,17.554774241345569,31.364392212649218,1333.0353702998896,35.339284468440795,57676.350569541501,18.363177202802753,650.43168524862176,683.75807480396486,157.62625195693909,3.8678191183196433,0.86734625726359582,0,2011.4519282809324,0,62646.337000000021,2016,01.1,Spent solvents,Total,0,25115,2,0,7602,0,32719
311,2016,01.2,"Acid, alkaline or saline wastes",Total,0,0,3971.4054461719898,2.4435161831216758,21.167775324524122,8808.57554323353,1210.0476742770527,60153.369403710924,3114.6938672167757,21464.23008904744,5608.8148874332546,1278.4023075310895,65.081293939152587,167.28548774657554,0,10504.609708184567,0,116370.12699999998,2016,01.2,"Acid, alkaline or saline wastes",Total,0,0,2634.058,0,32592.690000000002,0,35226.748
314,2016,01.3,Used oils,Total,20514.247720612195,423.36999999999989,5121.8399515723831,64.970343464034727,74.10315756112891,3262.0301883904904,3602.264495148645,43781.100053058362,16634.869093631853,20231.02147288376,7953.1849620201065,3429.7305589253988,27101.990314589078,23.962685275148601,0,64661.187723479612,5061.1640000000016,221941.0367206122,2016,01.3,Used oils,Total,0,3146,10796.933999999999,0,239.60000000000002,0,14182.534
317,2016,"01.4, 02, 03.1",Chemical wastes,Total,109003.30424857177,314.51799999999997,610.23129038245781,4985.7084827869303,514.64947454955006,28828.931839526933,4963.7167767653145,572666.98661480495,3978.5906673223185,77725.240885683525,9696.8092595503986,2258.4305441063825,892.3322883885221,11.086017526432716,0,80983.811858606568,7964.6429999999982,905398.99124857213,2016,"01.4, 02, 03.1",Chemical wastes,Total,23500,0,12745.229999999998,0,71253.877000000008,0,107499.107
320,2016,03.2,Industrial effluent sludges,Total,0,553.53159000000005,48623.54755815363,2267.2993301784491,14.953342526963583,63037.425892423387,1137.9067796903382,20171.344384381155,2833.7000873421662,16765.600962829474,2160.202760880944,149.97219318445596,5873.6684434635454,8697.9995403230387,0,8345.043854622445,0,180632.19671999998,2016,03.2,Industrial effluent sludges,Total,0,91765,8474.9797199999994,159.03,53401.524000000012,0,153800.53372000001
323,2016,03.3,Sludges & liquid wastes from waste treatment,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,03.3,Sludges & liquid wastes from waste treatment,Total,2415,78680,1273.8600000000001,398.52,441672.06299999985,0,524439.44299999985
326,2016,05,Health care & biological wastes,Total,1005.3990396606056,1.0110000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,254293.66299999997,0,255300.07303966058,2016,05,Health care & biological wastes,Total,7852,88742,381,0,118319.51000000002,0,215294.51
329,2016,06.1,"Metallic wastes, ferrous",Total,0,0,0,0,0,0,0,0,372.9,236694.78499999997,0,0,0,0,986955.91400000034,527195.32299999997,9862.9319999999989,1761081.8540000003,2016,06.1,"Metallic wastes, ferrous",Total,0,0,7609804.0189999919,38205,135333.02900000001,0,7783342.047999992
332,2016,06.2,"Metallic wastes, non-ferrous",Total,0,0,0,0,0,0,0,0,0,61683.274999999994,0,0,0,0,272740.55800000037,91430.822999999989,2712.6349999999998,428567.29100000032,2016,06.2,"Metallic wastes, non-ferrous",Total,0,0,1595845.3600000013,0,221.06000000000003,0,1596066.4200000013
335,2016,06.3,"Metallic wastes, mixed",Total,4578.2918322135874,1509.9970000000001,881.15051851816963,104.31006646025475,157.61069066015716,1191.1185863287615,219.75700497174824,1950.0629356806762,300.8058537361058,19080.961373805854,14154.988015488412,1375.9287515360975,796.16963981859567,22.635378901621486,605085.64800000016,2393688.2597370362,305208.18799999985,3350305.8833851563,2016,06.3,"Metallic wastes, mixed",Total,0,0,4259404.8310000086,25,544.28000000000009,0,4259974.1110000089
338,2016,07.1,Glass wastes,Total,0,0,3524.2455483115095,41.810007679033859,105.71232384058253,102.52312314654338,8.7820758450617209E-2,1671.5615217174709,12492.423296443778,49.55844289298873,223.21806469390245,55.076912940939557,4.1029907524090623,0,119961.78199999985,426981.21168098634,446512.45400000014,1011725.7677341639,2016,07.1,Glass wastes,Total,0,0,1312009.1028181817,326,71013.981,0,1383349.0838181817
341,2016,07.2,Paper & cardboard wastes,Total,5638.2746463389276,0,65399.073059938688,6182.5050123051924,2086.3402655401951,965280.96595407196,531.68989546876344,44443.6969460584,6873.1849138869256,13839.353528893096,46565.847666783746,32816.323106197386,1793.3534756067857,716.67118492159011,0,3857776.2864164719,893401.00200000021,5943344.5680724839,2016,07.2,Paper & cardboard wastes,Total,18919,0,3805298.605,0,2013.7820000000002,0,3826231.3870000001
344,2016,07.3,Rubber wastes,Total,11738.348954414208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185332.39499999999,6410.1069999999936,203480.8509544142,2016,07.3,Rubber wastes,Total,0,111003,10621.347000000003,3586,4515.78,0,129726.12700000001
347,2016,07.4,Plastic wastes,Total,82265.701143261031,0,49258.24172994378,5536.4770154985299,3432.1911085258189,19667.893580423683,7358.0939572102016,123708.65995424478,3764.4696379933821,10824.594384459238,32857.940537647075,27545.428257085998,1015.7270721515257,3541.5857570193634,21804.269999999993,713516.86850885558,81180.373000000036,1187278.5156443203,2016,07.4,Plastic wastes,Total,0,2348,512941.96854929579,4,47341.375000000007,0,562635.34354929579
350,2016,07.5,Wood wastes,Total,0,0,25777.5289558445,2824.1162512793703,125668.80745042302,51150.570125756632,457.22959241993419,40667.528925721621,6168.6971972463562,57318.394983673468,58809.798812538538,27088.864145723473,1418.6898615230764,778.98280713502197,497403.68399999995,1163154.4434075502,708967.78299999959,2767655.1195168346,2016,07.5,Wood wastes,Total,0,643845,2273464.9390000002,137073,27267.53,0,3081650.469
353,2016,07.6,Textile wastes,Total,0,0,1142.6737985410045,3345.05497160308,0,95.674088472347066,0,98.711623573531256,0.66523199341732475,40.777657653370056,20.904197127530772,142.6164597277907,10.185536072861337,0,0,1540.4744352350663,119379.22199999995,125816.95999999995,2016,07.6,Textile wastes,Total,0,0,96332.597000000038,413,1053.8800000000001,0,97799.477000000043
356,2016,07.7,Waste containing PCB,Total,0,0,0,0,0,0,0,0,0,0,269.041,0,0,0,0,0,0,269.041,2016,07.7,Waste containing PCB,Total,0,0,34.035000000000011,0,0,0,34.035000000000011
359,2016,08*,Discarded equipment,Total,3.424263196198386E-3,0,2151.83809856482,3659.8121083321025,83.310055144147412,6931.8718799388371,34.569086058027501,1256.3305200334471,758.89747945106933,2115.4514954563929,2379.9299009880679,6038.0043048296411,446.79278527337459,116.33146518526766,0,162792.14266323869,283084.79600000015,471850.08126675722,2016,08*,Discarded equipment,Total,0,0,397561.55000000005,0,1756.4320000000002,0,399317.98200000002
362,2016,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316893.747221912,606.88999999999965,1317500.6372219119,2016,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0
365,2016,08.41,Batteries & accumulators wastes,Total,3488.2261179487177,0,8.7992436200756412,4.4919095290233111,3.3956031701201388,1.1456630169394733,0.14906571258582091,118.92203589311809,1.4745984538828605,4.0282574817821946,462.63548287529272,9.8430036690845846,9.8203282727674654,1.9889672276094243,0,96044.414363126707,9025.6290000000081,109184.9636399977,2016,08.41,Batteries & accumulators wastes,Total,0,0,90828.415000000139,0,28,0,90856.415000000139
368,2016,09.1,Animal & mixed food waste,Total,13121.539412923632,0,1241161.773,0,0,0,0,0,0,0,0,0,0,0,0,742717.00033542409,363043.6759999998,2360043.9887483479,2016,09.1,Animal & mixed food waste,Total,29775,434314,805311.28299999982,213,171423.43999999997,0,1441036.7229999998
371,2016,09.2,Vegetal wastes,Total,0,0,644019.39799999993,0,0,0,0,0,0,0,0,0,0,0,0,90980.340000000098,3711589.058999999,4446588.7969999993,2016,09.2,Vegetal wastes,Total,1698,46579,3390921.1409999952,22772,84918.601999999984,0,3546888.7429999951
374,2016,09.3,"Animal faeces, urine & manure",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,09.3,"Animal faeces, urine & manure",Total,0,517281,13628.386,96,3134.4600000000009,0,534139.84600000002
377,2016,10.1,Household & similar wastes,Total,778.57596449386313,0,592932.21139784704,203.97842416786932,143.50787468348972,197679.71809970183,65.309120234718279,592487.29045758152,210.75150891850663,395800.97437416058,198292.3651732404,466.7989343428336,193.7959721561073,12.892870620996225,0,9426313.8951611388,12719432.819000002,24125014.88433329,2016,10.1,Household & similar wastes,Total,5407157,2082604,373648.24200000003,235,4002089.5699999952,0,11865733.811999995
380,2016,10.2,Mixed & undifferentiated materials,Total,12062.520862044596,2299.9970000000003,106417.81927682333,1396.4727222247325,170.43306171275529,69491.215028507635,224.81246590754188,70176.995295309403,639.64600917102348,2829.6978121596712,3233.0187421591986,824.41993244582034,425.46797694164474,130.06725546191666,0,71275.173421175321,3096643.6349999988,3438241.3918620436,2016,10.2,Mixed & undifferentiated materials,Total,417,64911,167101.72200000001,3969,178575.33699999985,0,414974.05899999989
383,2016,10.3,Sorting residues,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,10.3,Sorting residues,Total,717904,1116017,545227.70399999979,127559,8190471.84500001,0,10697179.54900001
386,2016,11,Common sludges,Total,0,0,44309.92955395802,0.35103184678588373,7.1585679129808346,2239.8616402425719,1.9463087071090623,276.82961762015856,61.414395418506743,145.52880411049381,213.48309742506368,23.122129434766681,73.567943861959108,933235,0,302904.2279519664,0,1283492.4210425047,2016,11,Common sludges,Total,0,123118,767284.4,21415.8,30247,0,942065.20000000007
389,2016,12.1,Mineral waste from construction & demolition,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57593778.379379056,0,0,57593778.379379056,2016,12.1,Mineral waste from construction & demolition,Total,0,0,52485047.975841321,502200.94099999999,2206881.2610000018,0,55194130.177841321
392,2016,"12.2, 12.3, 12.5",Other mineral wastes,Total,19872.410206797536,11496867.648058824,10798.519154724971,0.37211735388165951,31.781667652699987,3.4269564065905445,62.385970009276065,205718.44297178034,57234.983933161719,82180.984126361218,234.14680200367789,28.082164213103077,660.20303815410421,431.23343478648343,0,7839.7766633919473,0,11881964.397265626,2016,"12.2, 12.3, 12.5",Other mineral wastes,Total,0,304,47596.006000000001,89204,772233.18200000026,11496858,12406195.188000001
395,2016,12.4,Combustion wastes,Total,0,0,0,0,0,0,0,0,4586.2240000000002,483687.55400000006,0,0,390122.55800000008,0,0,0,0,878396.33600000013,2016,12.4,Combustion wastes,Total,0,0,345353.37800000008,66823,432249.88600000012,0,844426.2640000002
398,2016,12.6,Soils,Total,0,0,0,0,0,0,51.57,0,0,0,0,0,0,0,51477815.870018721,329259.40999999997,0,51807126.850018717,2016,12.6,Soils,Total,0,0,11246740.674888905,12001271,25873793.66999995,0,49121805.344888851
401,2016,12.7,Dredging spoils,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8722261,0,0,8722261,2016,12.7,Dredging spoils,Total,0,0,3575.0816999999997,148980.53599999999,59136.073000000011,8722261,8933952.6907000002
404,2016,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Total,0,0,204337.61199999996,100621,1692584.3639999998,0,1997542.9759999998
