,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
47,2010,07.6,Textile wastes,Total,0,0,1603.9031287926302,4660.7810997343167,0,134.29201758289358,0,138.555624623527,0.93374651363962102,57.237168454010025,29.341976004485559,200.18222721724837,14.29683011595392,0,0,2162.2721809612931,116472.30439999973,125474.10039999973,2010,07.6,Textile wastes,Total,0,0,106542.28299999995,0,2243,0,108785.28299999995
50,2010,07.7,Waste containing PCB,Total,0,0,0,0,0,0,0,0,0,0,3974.2220000000007,0,0,0,0,0,0,3974.2220000000007,2010,07.7,Waste containing PCB,Total,0,0,0,0,5.52,0,5.52
53,2010,08*,Discarded equipment,Total,9.3965284301397993,0,1343.8184669347563,2285.5451346308405,52.026958096302067,4328.9397324549482,21.588323146066287,784.57582590469951,473.92991511617981,1321.0951081287467,1486.2613284387076,3770.7212701890958,279.02117549829683,72.648760752867233,0,102754.3590007085,275729.24579999968,394713.17332842981,2010,08*,Discarded equipment,Total,0,0,222979.66200000001,0,6202.33,0,229181.992
56,2010,08.1,Discarded vehicles,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200014.5300000005,306.96999999999991,1200321.5000000005,2010,08.1,Discarded vehicles,Total,0,0,315927.071,0,14.2,0,315941.27100000001
59,2010,08.41,Batteries & accumulators wastes,Total,3109.5671487179484,0,4.7942931494958625,2.4474298034001376,1.8501041361977282,0.62421778403908568,8.1218881477994206E-2,64.795012687871903,0.80343920124887003,2.1948076542910639,252.06827109574434,5.3629888088891438,5.3506340541034891,1.0836945043939661,0,82902.440888238852,9923.8719999999976,96277.336148717965,2010,08.41,Batteries & accumulators wastes,Total,0,0,4919.1469999999999,0,92.797948717948714,0,5011.944948717949
62,2010,09.1,Animal & mixed food waste,Total,14347.7959252288,0,862881.02100000007,0,0,0,0,0,0,0,0,0,0,0,0,462583.21599999996,125299.12200000002,1465111.1549252288,2010,09.1,Animal & mixed food waste,Total,74496,446736.565,613449.30799999996,0,48047.826000000001,0,1182729.699
65,2010,09.2,Vegetal wastes,Total,0,0,186539.378,0,0,0,0,0,0,0,0,0,0,0,0,142257.837,3480700.8679000018,3809498.0829000017,2010,09.2,Vegetal wastes,Total,0,45384,4247954.6330000004,0,139569.5,0,4432908.1330000004
68,2010,09.3,"Animal faeces, urine & manure",Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,09.3,"Animal faeces, urine & manure",Total,0,307524,3988.35,0,2499.88,1643.0400000000002,315655.26999999996
71,2010,10.1,Household & similar wastes,Total,477.78442263480366,0,493141.30651561881,50.093472001006276,35.24298087755151,164389.18992984988,16.038758016856711,493032.04184826592,51.756821115995365,328886.81378002634,164539.64515152347,114.63751346739586,47.592842942645618,3.1662596478044804,0,8102782.079926624,12965087.344600001,22712654.734822616,2010,10.1,Household & similar wastes,Total,0,4027762,704270.8,0,10707229.747,477.78442263480366,15439740.331422633
74,2010,10.2,Mixed & undifferentiated materials,Total,2986.1538461538457,3049,310164.69848354039,1736.3851135109517,377.70782424829076,154892.1228342572,502.36156868215028,1223965.0064319731,1417.1157914623082,17216.508113788201,7164.9037022697939,1827.0507835847263,11089.492838406251,288.25052822946765,0,157903.17298604691,2339634.5399999982,4234214.4708461519,2010,10.2,Mixed & undifferentiated materials,Total,0,148706.60499999998,281761.27200000006,0,362632.77384615387,3049,796149.65084615396
