,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,A,B,C10-C12,C13-C15,C16,C17_C18,C19,C20-C22,C23,C24_C25,C26-C30,C31-C33,D,E36_E37_E39,F,G-U_X_G4677,EP_HH,Total waste generation,Year,EWC-STAT code,EWC-STAT description,Hazardous/Non-hazardous split,Energy recovery,Incineration,Recovery other than energy recovery - Except backfilling,Recovery other than energy recovery - Backfilling,Deposit onto or into land,Land treatment and release into water bodies,Total waste sent to final treatment
25,2010,06.2,"Metallic wastes, non-ferrous",Non-hazardous,0,0,0,0,0,0,0,0,0,25829.88900000001,0,0,0,0,138511.32199999993,152135.42799999987,2089.9099999999989,318566.54899999982,2010,06.2,"Metallic wastes, non-ferrous",Non-hazardous,0,0,1807071.622,0,1184.6010000000001,0,1808256.223
27,2010,06.3,"Metallic wastes, mixed",Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,06.3,"Metallic wastes, mixed",Hazardous,z,z,z,z,z,z,z
28,2010,06.3,"Metallic wastes, mixed",Non-hazardous,954.03685442153096,4748,195.53910648701213,23.147801385329924,34.975924063820997,264.3251739583427,48.76702390041374,432.74509408187618,66.752849404818363,4234.320992310978,3141.1815015868883,305.33702586660939,176.68071085519571,5.0230938669381988,837615.50799999991,2334166.5849922374,313184.3383,3499597.2644444271,2010,06.3,"Metallic wastes, mixed",Non-hazardous,0,0,4627014.0140000004,0,1358.2597179487179,4748,4633120.2737179492
30,2010,07.1,Glass wastes,Hazardous,0,0,0,0,0,0,0,0,561.52,0,0,0,0,0,0,0,0,561.52,2010,07.1,Glass wastes,Hazardous,0,0,0,0,561.52,0,561.52
31,2010,07.1,Glass wastes,Non-hazardous,0,0,734.13174628993454,8.7093970976314168,22.02081887927357,21.35647996114519,1.8293846407140137E-2,348.20115742430079,4670.253571095478,10.32346518586677,46.498311593443354,11.47301166258484,0.85468952852069358,0,12627.262999999995,317335.32997196267,710729.13499999931,1046565.5689145266,2010,07.1,Glass wastes,Non-hazardous,0,0,1258655.0866190474,0,8261.84,0,1266916.9266190475
33,2010,07.2,Paper & cardboard wastes,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,07.2,Paper & cardboard wastes,Hazardous,z,z,z,z,z,z,z
34,2010,07.2,Paper & cardboard wastes,Non-hazardous,5842.878917262462,0,44652.923424359797,4221.266601625488,1424.5032498999178,954493.19732372253,363.02514817164626,30345.093646953592,4692.8463245950725,9449.1796971179629,31794.04741944285,22406.200794116496,1224.4588749092336,489.32594979472276,0,3815687.1434852914,1233012.1499999994,6160098.2408572622,2010,07.2,Paper & cardboard wastes,Non-hazardous,53,0,3309029.8501251573,0,1853.4117948717949,0,3310936.2619200293
36,2010,07.3,Rubber wastes,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,07.3,Rubber wastes,Hazardous,z,z,z,z,z,z,z
37,2010,07.3,Rubber wastes,Non-hazardous,21798.240000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140399.17599999998,8908.5810000000019,171105.99699999997,2010,07.3,Rubber wastes,Non-hazardous,89619,0,43135.040999999997,0,5686.79,0,138440.83100000001
39,2010,07.4,Plastic wastes,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,07.4,Plastic wastes,Hazardous,z,z,z,z,z,z,z
40,2010,07.4,Plastic wastes,Non-hazardous,82291.27638520718,0,27127.347932425848,3049.0316553058724,1890.1657692535855,10831.442079869117,4052.2269550555702,68744.48527007697,2073.1571827262669,5961.2874471746591,18095.424318929079,15169.733836102543,559.37810045478659,1950.4112548293697,40917.660000000003,504482.38958865794,85559.912499999904,872755.33027606865,2010,07.4,Plastic wastes,Non-hazardous,0,0,790289.50394117646,0,48908.758794871799,0,839198.26273604832
42,2010,07.5,Wood wastes,Hazardous,0,0,28.884064739408522,3.1644598973508034,140.8135735717716,57.183123156668948,0.51233185193402453,45.568508148876958,6.9121074214785754,64.226025477591165,65.89716334419316,30.353433296201128,1.5896608971157524,0.87286061711794627,0,569.70868758029133,0,1015.6859999999999,2010,07.5,Wood wastes,Hazardous,0,0,0,0,40.380000000000003,0,40.380000000000003
43,2010,07.5,Wood wastes,Non-hazardous,0,0,24985.118880542886,2737.3019497545761,121805.70523665259,49636.419132637566,443.17419803437343,39417.395147826843,5979.0693310937859,55556.407876104626,57001.965440094573,26256.143177227339,1375.078848926609,755.03660864881795,484175.15599999984,1071971.8746724559,616691.53749999963,2558787.3840000001,2010,07.5,Wood wastes,Non-hazardous,157295,0,2489410.2709999997,0,60891.24,0,2707596.5109999999
45,2010,07.6,Textile wastes,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,07.6,Textile wastes,Hazardous,z,z,z,z,z,z,z
46,2010,07.6,Textile wastes,Non-hazardous,0,0,1603.9031287926302,4660.7810997343167,0,134.29201758289358,0,138.555624623527,0.93374651363962102,57.237168454010025,29.341976004485559,200.18222721724837,14.29683011595392,0,0,2162.2721809612931,116472.30439999973,125474.10039999973,2010,07.6,Textile wastes,Non-hazardous,0,0,106542.28299999995,0,2243,0,108785.28299999995
48,2010,07.7,Waste containing PCB,Hazardous,0,0,0,0,0,0,0,0,0,0,3974.2220000000007,0,0,0,0,0,0,3974.2220000000007,2010,07.7,Waste containing PCB,Hazardous,0,0,0,0,5.52,0,5.52
49,2010,07.7,Waste containing PCB,Non-hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,07.7,Waste containing PCB,Non-hazardous,z,z,z,z,z,z,z
51,2010,08*,Discarded equipment,Hazardous,9.3965284301397993,0,677.77809523979909,1152.7542343335658,26.240696513173081,2183.3756556149865,10.888444311036899,395.71439293124206,239.03475286904174,666.31717605469657,749.6216170592844,1901.8285155870262,140.72915763107088,36.641659492093332,0,45013.436602362985,275729.24579999968,328933.00332842983,2010,08*,Discarded equipment,Hazardous,0,0,68518.887000000002,0,2092.66,0,70611.547000000006
52,2010,08*,Discarded equipment,Non-hazardous,0,0,666.04037169495723,1132.7909002972747,25.786261583128983,2145.5640768399612,10.699878835029388,388.86143297345751,234.89516224713805,654.77793207405023,736.63971137942303,1868.8927546020693,138.29201786722595,36.007101260773901,0,57740.922398345516,0,65780.17,2010,08*,Discarded equipment,Non-hazardous,0,0,154460.77499999999,0,4109.67,0,158570.44500000001
54,2010,08.1,Discarded vehicles,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879558.09800000046,306.96999999999991,879865.06800000044,2010,08.1,Discarded vehicles,Hazardous,0,0,0,0,0,0,0
55,2010,08.1,Discarded vehicles,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320456.43199999997,0,320456.43199999997,2010,08.1,Discarded vehicles,Non-hazardous,0,0,315927.071,0,14.2,0,315941.27100000001
57,2010,08.41,Batteries & accumulators wastes,Hazardous,3109.5671487179484,0,2.916782639102323,1.488982950850593,1.1255781523414727,0.3797655960390286,4.9412461039691193E-2,39.420403011499786,0.48880146472131442,1.3352910768250035,153.35490218780569,3.2627693308893271,3.2552528663875782,0.65930497321368364,0,81254.243753289295,8757.1259999999984,93328.674148717968,2010,08.41,Batteries & accumulators wastes,Hazardous,0,0,3496.6559999999999,0,13.32,0,3509.9760000000001
58,2010,08.41,Batteries & accumulators wastes,Non-hazardous,0,0,1.8775105103935399,0.95844685254954476,0.72452598385625555,0.24445218800005702,3.1806420438303014E-2,25.374609676372117,0.31463773652755556,0.85951657746606025,98.713368907938644,2.1002194779998171,2.095381187715911,0.42438953118028255,0,1648.1971349495618,1166.7459999999987,2948.6619999999984,2010,08.41,Batteries & accumulators wastes,Non-hazardous,0,0,1422.4910000000002,0,79.477948717948721,0,1501.9689487179489
60,2010,09.1,Animal & mixed food waste,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,09.1,Animal & mixed food waste,Hazardous,z,z,z,z,z,z,z
61,2010,09.1,Animal & mixed food waste,Non-hazardous,14347.7959252288,0,862881.02100000007,0,0,0,0,0,0,0,0,0,0,0,0,462583.21599999996,125299.12200000002,1465111.1549252288,2010,09.1,Animal & mixed food waste,Non-hazardous,74496,446736.565,613449.30799999996,0,48047.826000000001,0,1182729.699
63,2010,09.2,Vegetal wastes,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,09.2,Vegetal wastes,Hazardous,z,z,z,z,z,z,z
64,2010,09.2,Vegetal wastes,Non-hazardous,0,0,186539.378,0,0,0,0,0,0,0,0,0,0,0,0,142257.837,3480700.8679000018,3809498.0829000017,2010,09.2,Vegetal wastes,Non-hazardous,0,45384,4247954.6330000004,0,139569.5,0,4432908.1330000004
66,2010,09.3,"Animal faeces, urine & manure",Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,09.3,"Animal faeces, urine & manure",Hazardous,z,z,z,z,z,z,z
67,2010,09.3,"Animal faeces, urine & manure",Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,09.3,"Animal faeces, urine & manure",Non-hazardous,0,307524,3988.35,0,2499.88,1643.0400000000002,315655.26999999996
69,2010,10.1,Household & similar wastes,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,10.1,Household & similar wastes,Hazardous,z,z,z,z,z,z,z
70,2010,10.1,Household & similar wastes,Non-hazardous,477.78442263480366,0,493141.30651561881,50.093472001006276,35.24298087755151,164389.18992984988,16.038758016856711,493032.04184826592,51.756821115995365,328886.81378002634,164539.64515152347,114.63751346739586,47.592842942645618,3.1662596478044804,0,8102782.079926624,12965087.344600001,22712654.734822616,2010,10.1,Household & similar wastes,Non-hazardous,0,4027762,704270.8,0,10707229.747,477.78442263480366,15439740.331422633
72,2010,10.2,Mixed & undifferentiated materials,Hazardous,0,361,767.45625403007671,81.485515127620033,17.776355119625936,297.4380457690437,23.448186573252027,247.56139382334635,66.694815244558072,242.04183373469311,337.20739797475045,85.987902461991169,44.063872991038167,13.566157289499053,0,7438.8232698605016,0,10024.550999999998,2010,10.2,Mixed & undifferentiated materials,Hazardous,0,4619,2012.09,0,273.334,361,7265.424
73,2010,10.2,Mixed & undifferentiated materials,Non-hazardous,2986.1538461538457,2688,309397.24222951033,1654.8995983833317,359.93146912866484,154594.68478848814,478.91338210889825,1223717.4450381498,1350.42097621775,16974.466280053508,6827.6963042950438,1741.0628811227352,11045.428965415213,274.68437093996857,0,150464.34971618641,2339634.5399999982,4224189.919846152,2010,10.2,Mixed & undifferentiated materials,Non-hazardous,0,144087.60499999998,279749.18200000003,0,362359.43984615389,2688,788884.22684615385
75,2010,10.3,Sorting residues,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10.3,Sorting residues,Hazardous,0,0,87,0,52667.529000000002,0,52754.529000000002
76,2010,10.3,Sorting residues,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10.3,Sorting residues,Non-hazardous,204267,0,257202.8,0,9974489.0240000002,0,10435958.824000001
78,2010,11,Common sludges,Hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2010,11,Common sludges,Hazardous,z,z,z,z,z,z,z
79,2010,11,Common sludges,Non-hazardous,0,0,13236.234613727045,0.11461239279390467,2.3372825143835225,1587.9002563579288,0.62241248002462046,90.385260375025211,20.051886674542985,47.515359681063181,69.702532237382059,7.5494078536567519,24.020037373104408,0,0,136969.79341870049,0,152056.22708036745,2010,11,Common sludges,Non-hazardous,0,182830,1014282.2536822407,18431.538020289834,33041.800000000003,0,1248585.5917025306
81,2010,12.1,Mineral waste from construction & demolition,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345166.14806637587,0,0,345166.14806637587,2010,12.1,Mineral waste from construction & demolition,Hazardous,0,0,68335.052951012607,0,18421.62,0,86756.672951012602
82,2010,12.1,Mineral waste from construction & demolition,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50727633.409700677,0,0,50727633.409700677,2010,12.1,Mineral waste from construction & demolition,Non-hazardous,0,0,46041073.513999999,620493.18911165977,1803251.09,0,48464817.79311166
84,2010,"12.2, 12.3, 12.5",Other mineral wastes,Hazardous,0,138,709.70711437627301,6.4736632778598036E-2,5.5290034889869517,0.59618186609020229,10.853182709429632,898.5145577949711,1491.2383688559023,1359.2121302072433,40.734126961506057,4.8854070720659895,114.85441674372682,75.020958357411359,0,1363.872814933615,0,6213.0830000000005,2010,"12.2, 12.3, 12.5",Other mineral wastes,Hazardous,0,0,230.27099999999999,0,226824.397,138,227192.66800000001
85,2010,"12.2, 12.3, 12.5",Other mineral wastes,Non-hazardous,0,12612044,49011.27564383953,0.44848305542457351,38.303882543204708,4.1302343575282929,75.188781586047213,93320.178631960516,104452.08557990839,73756.535952163395,282.19826913500413,33.845169213022885,795.68951209435181,519.73090321334723,0,9448.6509569302343,0,12943782.262,2010,"12.2, 12.3, 12.5",Other mineral wastes,Non-hazardous,0,0,66464.409,86776.816999999995,525013.99300000002,12612044,13290299.219000001
87,2010,12.4,Combustion wastes,Hazardous,0,0,0,0,0,0,0,0,14093.655000000001,7098.0199999999995,0,0,11199.847,0,0,0,0,32391.521999999997,2010,12.4,Combustion wastes,Hazardous,0,0,10191.521000000001,0,18090.900000000001,0,28282.421000000002
88,2010,12.4,Combustion wastes,Non-hazardous,0,0,0,0,0,0,0,0,812.58,225479.41200000001,0,0,2043142.1739999999,0,0,0,0,2269434.1659999997,2010,12.4,Combustion wastes,Non-hazardous,0,0,8375.7729999999992,0,2199105.8319999999,0,2207481.605
90,2010,12.6,Soils,Hazardous,0,0,0,0,0,0,445.185,0,0,0,0,0,0,0,220982.09911432557,0,0,221427.28411432556,2010,12.6,Soils,Hazardous,0,0,36903.685236549361,0,148153.07,0,185056.75523654936
91,2010,12.6,Soils,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36313306.481932685,409213.14500000014,0,36722519.626932688,2010,12.6,Soils,Non-hazardous,0,0,9819431.4221176486,9919894.4940659106,14755931.891000001,0,34495257.807183564
93,2010,12.7,Dredging spoils,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,12.7,Dredging spoils,Hazardous,0,0,316.78429319371725,0,14658.87,0,14975.654293193718
94,2010,12.7,Dredging spoils,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11095337.729482433,0,0,11095337.729482433,2010,12.7,Dredging spoils,Non-hazardous,0,0,571.21308900523559,0,335460.47100000002,11095337.729482433,11431369.413571438
96,2010,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Hazardous,20918.730376067157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20918.730376067157,2010,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Hazardous,0,0,11.46,0,122533.34999999999,0,122544.81
97,2010,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Non-hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,"12.8, 13",Mineral waste from waste treatment & stabilised waste,Non-hazardous,6929,0,5544.0339999999997,325.113,1336778.648,0,1349576.7950000002
102,2012,01.1,Spent solvents,Hazardous,0,0,18.994378923807446,12.665725905283656,22.629330886842482,961.7817005302918,25.497205752263248,43831.792165254199,13.248986629122586,469.28484138906919,493.32974847346424,113.72694831139816,2.790621863337476,0.62578816499962608,0,1451.2575579159254,0,47417.625,2012,01.1,Spent solvents,Hazardous,0,0,31.32,0,11.58,0,42.9
103,2012,01.1,Spent solvents,Non-hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2012,01.1,Spent solvents,Non-hazardous,z,z,z,z,z,z,z
105,2012,01.2,"Acid, alkaline or saline wastes",Hazardous,0,0,2805.9676586739847,1.7264486026967558,14.95593783403389,6223.2817687484821,3233.8553908412096,42500.926031054332,2200.6643180954084,16428.510962828266,3962.8674007074196,903.24586052125812,31.283221693212944,118.19434574096266,0,7421.9556546587246,0,85847.434999999998,2012,01.2,"Acid, alkaline or saline wastes",Hazardous,0,0,215.99900000000002,0,1220.9839999999999,0,1436.9829999999999
106,2012,01.2,"Acid, alkaline or saline wastes",Non-hazardous,0,0,2993.6913523910753,1.8419507567251827,15.956513833022704,6639.6292049209223,126.05530541763082,45344.305496346082,2347.8922567878672,16029.922192909831,4227.9895249315441,963.67444341941325,30.164745137228806,126.1017352257915,0,7918.4962779228617,0,86765.721000000005,2012,01.2,"Acid, alkaline or saline wastes",Non-hazardous,0,0,728.37199999999996,0,75310.240000000005,0,76038.612000000008
108,2012,01.3,Used oils,Hazardous,22067.114677993137,4639.0839999999998,4554.6123518191662,57.775083103169152,65.8964668806383,2900.7706465894553,3251.8215985135744,38932.481483860807,14792.609874795267,17499.564165892683,7072.3948438097341,3049.8987306890886,24100.530475930929,21.308893555613995,0,57500.165384559863,5053.006999999996,205559.03567799309,2012,01.3,Used oils,Hazardous,101054,1285,2531.0169999999998,0,402.56,0,105272.57699999999
109,2012,01.3,Used oils,Non-hazardous,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2012,01.3,Used oils,Non-hazardous,z,z,z,z,z,z,z
111,2012,"01.4, 02, 03.1",Chemical wastes,Hazardous,95280.942207814092,553.56699999999989,469.95531152365021,1429.8139485170918,397.20023544894377,22250.843887094674,3714.6357055246926,331755.27863035572,3071.02427191067,59947.747014909015,7484.5794100381609,1743.1885024035041,688.69170482824586,8.578449345249421,0,61011.139928100143,2002.552000000001,591809.73820781393,2012,"01.4, 02, 03.1",Chemical wastes,Hazardous,0,128680,9917.9269999999997,0,3982.252,0,142580.179
112,2012,"01.4, 02, 03.1",Chemical wastes,Non-hazardous,0,12.828999999999999,456.09746873569037,2199.7108330190949,219.48685162245101,12294.914884804346,2799.0387751555768,69366.508986368732,1696.7827281459047,33007.183990813079,4135.4790792800741,963.17170083142423,380.56038967275174,4.727946309549294,0,33696.156365241353,2921.8219999999992,164154.47100000002,2012,"01.4, 02, 03.1",Chemical wastes,Non-hazardous,0,0,104181.984,0,24047.879000000008,0,128229.86300000001
114,2012,03.2,Industrial effluent sludges,Hazardous,0,15259.251,5175.4373607832467,104.28363912596379,1.591617466621043,6047.2183312426841,225.46341440062486,2543.6491211950747,191.87537653887875,1993.1090146120164,229.92962539722379,15.962876644431113,341.51146514769749,925.80558280377227,0,888.23736464175954,0,33943.325789999988,2012,03.2,Industrial effluent sludges,Hazardous,0,0,14.39748,0,1103.3058600000002,0,1117.7033400000003
115,2012,03.2,Industrial effluent sludges,Non-hazardous,0,6.202,60992.470488040817,1194.5388119218837,18.757193758488995,75032.008318808425,1236.2871349813886,24805.836886190478,6409.4859322198454,20497.025420909828,2709.7180226028427,188.12231986754344,4334.5700681263515,10910.608273360847,0,10467.867249211331,0,218803.49812000006,2012,03.2,Industrial effluent sludges,Non-hazardous,0,0,7194.7491300000011,190.55520000000001,11838.150809999999,0,19223.455139999998
117,2012,03.3,Sludges & liquid wastes from waste treatment,Hazardous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,03.3,Sludges & liquid wastes from waste treatment,Hazardous,0,0,8.3700000000000011E-2,0,3646.2420000000002,0,3646.3257000000003
