"","Year","EWC-STAT code","EWC-STAT description","Hazardous/Non-hazardous split","A","B","C10-C12","C13-C15","C16","C17_C18","C19","C20-C22","C23","C24_C25","C26-C30","C31-C33","D","E36_E37_E39","F","G-U_X_G4677","EP_HH","Total waste generation"
"1","2010","01.1","Spent solvents","Hazardous","0","0","13.697856766594976","9.1339285159817187","16.319213934567411","693.59193198380535","18.387391014146118","39262.057247601399","9.554548841856775","338.42625578163268","355.76631699286327","82.014550447813036","2.0124658314472947","0.45128912531333892","0","1046.5790031625825","0","41847.991999999998"
"2","2010","01.1","Spent solvents","Non-hazardous","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z"
"3","2010","01.1","Spent solvents","Total","0","0","13.697856766594976","9.1339285159817187","16.319213934567411","693.59193198380535","18.387391014146118","39262.057247601399","9.554548841856775","338.42625578163268","355.76631699286327","82.014550447813036","2.0124658314472947","0.45128912531333892","0","1046.5790031625825","0","41847.991999999998"
"4","2010","01.2","Acid, alkaline or saline wastes","Hazardous","0","0","2583.0081880073662","1.5892666699683162","13.767553508758073","5728.7858308925606","1585.5468118834533","39123.843639733022","2025.8016642224352","20283.9037794043","3647.9817977845169","831.47481985331126","26.026658899350352","108.80273758014525","0","6832.2142515607911","0","82792.746999999974"
"5","2010","01.2","Acid, alkaline or saline wastes","Non-hazardous","0","0","2804.5710114636677","1.7255892771741481","14.948493639590309","6220.1841816845435","756.56013947096244","42479.771546399585","2199.5689556199331","15010.70678688404","3960.8949162124736","902.79627735966073","28.259148930798023","118.13551548226599","0","7418.2614375753155","0","81916.38400000002"
"6","2010","01.2","Acid, alkaline or saline wastes","Total","0","0","5387.5791994710344","3.3148559471424646","28.71604714834838","11948.970012577105","2342.1069513544157","81603.615186132607","4225.3706198423679","35294.610566288342","7608.8767139969905","1734.2710972129721","54.285807830148372","226.93825306241123","0","14250.475689136107","0","164709.13099999996"
"7","2010","01.3","Used oils","Hazardous","21570.796028489436","1442","3709.4167191519955","47.053808899388088","53.66811423203869","2362.4770460622253","3690.5604770921364","31707.813218533727","12047.557541871141","14252.562015877375","5759.9764044889198","2483.9315554088516","19628.215044940851","17.354619870174865","0","46829.907433571112","6258.1129999999994","171861.40302848938"
"8","2010","01.3","Used oils","Non-hazardous","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z"
"9","2010","01.3","Used oils","Total","21570.796028489436","1442","3709.4167191519955","47.053808899388088","53.66811423203869","2362.4770460622253","3690.5604770921364","31707.813218533727","12047.557541871141","14252.562015877375","5759.9764044889198","2483.9315554088516","19628.215044940851","17.354619870174865","0","46829.907433571112","6258.1129999999994","171861.40302848938"
"10","2010","01.4, 02, 03.1","Chemical wastes","Hazardous","103009.38743795808","740","449.33199417737359","1381.2254991209491","380.19825411526773","21297.426880673698","3920.6819654670035","299676.5115379176","2939.1912366746342","57277.964184780802","7163.5358302787272","1668.4197543607322","659.21213352629889","8.1898160147352268","0","58983.663912892","2159.6600000000003","561714.60043795791"
"11","2010","01.4, 02, 03.1","Chemical wastes","Non-hazardous","0","8","103.41802901890424","1451.8612499496305","87.506241679973002","4901.8052124373171","2257.8582125318335","42665.180209416496","676.48279789873175","13386.196300429452","1648.7558553003455","384.0026635274038","192.74393784121398","1.8849639937658915","0","15447.370325974916","1673.9099999999999","84886.975999999981"
"12","2010","01.4, 02, 03.1","Chemical wastes","Total","103009.38743795808","748","552.75002319627788","2833.0867490705796","467.70449579524075","26199.232093111015","6178.540177998837","342341.69174733409","3615.674034573366","70664.160485210246","8812.2916855790718","2052.4224178881359","851.95607136751289","10.074780008501119","0","74431.034238866909","3833.57","646601.57643795782"
"13","2010","03.2","Industrial effluent sludges","Hazardous","0","1610.8200000000002","5902.8030229622627","123.20180271256831","1.8153063670639036","6897.1057241759354","126.70139066985577","2731.2841439068447","218.84190141068748","2139.564113370734","262.24436569316555","18.206329232368805","380.67060785045265","1055.9200337848165","0","1013.0719078632474","0","22482.250650000002"
"14","2010","03.2","Industrial effluent sludges","Non-hazardous","0","42.660000000000004","43873.151025360654","1759.8613933055378","13.492439115734758","52596.529154787931","870.03275457542929","19535.851701460531","6147.8862739832248","16153.972127818963","1949.156462929411","135.32029256641204","4491.1079632814617","7848.2271782968392","0","7529.7543625179915","0","162947.00313000011"
"15","2010","03.2","Industrial effluent sludges","Total","0","1653.4800000000002","49775.954048322914","1883.0631960181061","15.307745482798662","59493.634878963865","996.73414524528505","22267.135845367375","6366.7281753939124","18293.536241189697","2211.4008286225767","153.52662179878084","4871.7785711319148","8904.1472120816561","0","8542.8262703812397","0","185429.25378000009"
"16","2010","03.3","Sludges & liquid wastes from waste treatment","Hazardous","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","2010","03.3","Sludges & liquid wastes from waste treatment","Non-hazardous","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","2010","03.3","Sludges & liquid wastes from waste treatment","Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","2010","05","Health care & biological wastes","Hazardous","21.324562535720496","2","0","0","0","0","0","0","0","0","0","0","0","0","0","152559.45799999998","0","152582.78256253569"
"20","2010","05","Health care & biological wastes","Non-hazardous","1000.1036917538801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94268.847000000023","0","95268.950691753897"
"21","2010","05","Health care & biological wastes","Total","1021.4282542896005","2","0","0","0","0","0","0","0","0","0","0","0","0","0","246828.30499999999","0","247851.7332542896"
"22","2010","06.1","Metallic wastes, ferrous","Hazardous","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z"
"23","2010","06.1","Metallic wastes, ferrous","Non-hazardous","0","0","0","0","0","0","0","0","1434.64","158369.18800000005","0","0","0","0","1386051.9470000009","1441227.5370000002","11510.463999999994","2998593.776000001"
"24","2010","06.1","Metallic wastes, ferrous","Total","0","0","0","0","0","0","0","0","1434.64","158369.18800000005","0","0","0","0","1386051.9470000009","1441227.5370000002","11510.463999999994","2998593.776000001"
"25","2010","06.2","Metallic wastes, non-ferrous","Hazardous","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z"
